id,image,source
2.0,fd92a3dd-1109-49d8-8f5f-eeed72da22ef.png,6.0
10.0,2cbb2339-6dd2-4000-a53c-225ec7aad892.png,0.0
11.0,fcd9ca02-ccad-4fc4-a920-34eb08388e93.png,0.0
16.0,bbebd6ab-fb6d-4811-84f4-84cb271a8ad4.png,5.0
26.0,1ef98927-af76-4017-87cf-9376ad067dbc.png,1.0
51.0,d0e161c8-ccd6-4f7a-aa0b-a34d5ba27af9.png,0.0
76.0,4f3b9d39-f6f6-4ec9-9b35-abce5340d91c.png,0.0
76.0,fcc08cd0-e355-462d-833a-cbbba0bbe2e2.png,0.0
76.0,b4fbaf73-e6cf-448b-a59e-8ebe022e1192.png,0.0
76.0,d0949a77-1edf-4e06-b701-a24ed6a57c26.png,0.0
76.0,214b1c76-a0da-40c3-93c1-a5bcbd04bd57.png,0.0
76.0,5d7c7e0c-6cb1-4fd5-b503-ad8cbe850fa4.png,0.0
76.0,e0cb6cfb-11ed-4e84-8bd7-9d9d9a9d3cce.png,0.0
76.0,5935c27a-9bd9-488b-8355-f227b8af3f63.png,0.0
76.0,c5383104-5860-4a97-ad00-203f996f87ac.png,0.0
104.0,86363589-1939-423c-b9a0-462f9b661149.png,0.0
120.0,b3c8f914-75bd-49fd-9b24-ee2e98578025.png,5.0
126.0,1cc5649f-9e7b-43dc-b7ea-89d99f50244f.png,0.0
152.0,672c2d54-760f-4f0e-ab69-846daab9f94c.png,0.0
179.0,0272b58f-d87f-448d-b4c7-6fc33f028178.png,0.0
179.0,e2dc56f1-fd29-46bb-a1a7-f461946aca7d.png,0.0
189.0,031cdabe-74d8-427e-8560-10c94a563fad.png,6.0
209.0,4bcb387c-7d18-476d-a1af-1a7ba72fd226.png,6.0
211.0,45a97907-4a34-4b90-9bd9-e228abe2a3cb.png,6.0
232.0,d9e0b5e9-dbf5-4715-bd38-b4f8d54607f5.png,0.0
238.0,cff31de6-5102-4ee3-89f4-3549c155b552.png,0.0
238.0,7c01da97-0dfc-4093-a5f8-ffaf1f4a65a9.png,0.0
258.0,d8d3f0ae-818a-40e6-966f-ff1f70be7435.png,2.0
314.0,024312a2-2597-4167-8288-11b4a42e281c.png,6.0
317.0,403a98d1-1f7d-4974-a81f-1c308d766bf4.png,0.0
350.0,1b6f49b0-abf6-429d-a50c-06ba9ef3117e.png,0.0
354.0,bfef1f5d-83f1-4382-a7af-96602db5f999.png,0.0
354.0,d22b1e35-3103-45cf-9b27-772eafd431f9.png,0.0
362.0,16793929-c1b0-46ca-81bb-6454c4bb9d4b.png,6.0
365.0,415b23a4-6253-4969-a450-02746c31749c.png,2.0
365.0,fc7bc4f2-470a-4aed-91db-56bbd2747416.png,2.0
378.0,ab96fae8-2b16-4223-b3e8-b534409ebd40.png,0.0
390.0,dc115bd2-2ae5-4ca4-97eb-e38684b36d88.png,0.0
392.0,308fde67-d1d6-4b95-87db-8ec4f4aded24.png,5.0
394.0,9548a898-36da-4c49-879c-32cd6e99e1ad.png,0.0
442.0,f4c953e5-94b6-4979-8ff0-46c996a45f7d.png,4.0
443.0,397c5833-3f50-4c27-b439-7f40030460c2.png,4.0
444.0,8010cb8e-42d7-4826-b304-f47c0d9f8017.png,1.0
448.0,067aa386-2ed3-4372-9d6a-ecc6dc8264d1.png,0.0
463.0,365726d1-8a56-467b-bbd2-1ee967fd4182.png,1.0
497.0,d5e71e07-b83e-44ef-84cf-24a7d94acb7f.png,0.0
515.0,4440798b-a843-4ce1-b556-9e1d51219459.png,6.0
521.0,0b908d31-b612-452b-b8d2-e66191a9064b.png,0.0
528.0,83504ce2-51a9-431f-9751-2b3c9cd9f144.png,5.0
528.0,b25c89b2-2f50-4749-a0e0-609e199e444c.png,5.0
528.0,f554caa1-7249-4e2b-8949-ffe23f64f89a.png,5.0
533.0,3f6a6c64-84b8-412d-b7c1-0e12b8a64a19.png,0.0
533.0,dc6f02fd-a0e6-46c9-b804-c2963ddbfa6b.png,0.0
539.0,fd36b876-ee92-45d2-8541-ce1956f97a39.png,3.0
587.0,aee50290-af26-49d4-9582-597e7e83853f.png,3.0
632.0,04297929-d080-44f0-b68d-f09902a087dc.png,6.0
646.0,d267e34e-a5c3-49ff-93cd-b8c1b9d0b164.png,0.0
654.0,68a1cb0a-da73-4102-9638-ac1deb4f4c59.png,1.0
662.0,dc6855b6-2678-4bdb-b45a-0ca2e033c45b.png,2.0
670.0,98a2af8a-8941-4e44-afa8-761eb4ebe5b6.png,0.0
676.0,dbbba047-7358-43f9-8d1e-1be23a8d7073.png,0.0
676.0,04df45a2-60c7-4176-8ae2-3c30d2ef37c4.png,0.0
692.0,875ebbcc-dc4a-479d-ac97-6c9edbcc2ed0.png,0.0
693.0,60f4aa82-a643-4eb4-aa65-72567d48cd0d.png,1.0
706.0,348d0f92-bdd9-4812-b9b3-2abbca3e6103.png,5.0
719.0,f37703b4-ff7a-4eb7-94fe-f403b547c458.png,1.0
767.0,90df9913-7d92-48f7-a74a-b8b4bad3e193.png,0.0
777.0,525e0aae-b5d6-444c-a9ce-a68ee5b70216.png,0.0
779.0,885c218a-4836-4530-8354-6dd0d925b13b.png,3.0
792.0,ae4e1e99-ca6d-4fa6-94bd-3797527ef4c0.png,5.0
792.0,d98d7ee3-95ef-4313-9c0a-831514d668bc.png,5.0
794.0,24daaa66-9a50-4b26-b52d-81f66385c499.png,0.0
799.0,be6a664e-5b53-493e-a641-d64312e56cbb.png,0.0
818.0,b6b45bf8-4600-47b7-bf71-170fb65cdf41.png,0.0
818.0,2924414e-c082-46f3-9eec-799991913123.png,0.0
827.0,d844c460-1dd7-470d-be77-127da4d22c8b.png,3.0
847.0,76e4aa42-879a-4cb7-a0cc-f9db0abf0e47.png,5.0
851.0,768c5058-4618-488e-a320-b91149709ab1.png,0.0
857.0,5a9f3e26-5da0-402e-ac5f-ff23af8260b6.png,0.0
865.0,01706489-b1df-436a-8131-59a51ee6d3fb.png,6.0
877.0,ff765e47-047b-4a7b-a6da-bbc8be46a697.png,2.0
909.0,15cab0d7-f2fb-4689-8243-f619b3a0e08b.png,0.0
917.0,9c7dac18-4c1d-46a1-a85d-239ea745d3f4.png,6.0
918.0,c5e46550-3214-4f73-8fc5-4566f59eeba9.png,2.0
