id,image,source
11.0,b26038a4-4817-43ba-afbf-1ae72b962e26.png,0.0
11.0,ffe78331-9762-493c-85a6-899a8d2b22bb.png,0.0
11.0,4f39a767-ca16-4edf-b995-b24589552ece.png,0.0
16.0,b624af77-4a88-44be-87b5-b917c4582d05.png,5.0
28.0,cd20e006-1fc4-4328-b04d-058d7ea401f9.png,3.0
28.0,7f00b90f-b4a4-4c29-b4ca-0ce498fd4cbb.png,3.0
28.0,6b2dba6a-fa17-4508-945c-c45d0353e42d.png,3.0
51.0,10916405-5b2c-4a20-b6f3-b08e4783fa73.png,0.0
76.0,1b80d740-1c99-4ce5-b0b5-de7b905018b1.png,0.0
76.0,9c9c8b1a-e070-4d39-b41e-92fb9bb15946.png,0.0
76.0,3d68f570-79b3-4559-b650-34c6015d2d90.png,0.0
76.0,da05f7ce-c2b2-4c85-941a-51fb244ff1de.png,0.0
76.0,ef778963-e86e-49e8-8096-7a4ef22a3ee9.png,0.0
76.0,01c0b2cc-70a5-4a0c-8889-229de1863b89.png,0.0
77.0,b367e60d-d84a-41f7-90ba-52b32cf2d543.png,1.0
93.0,4dee54f5-264f-4c0c-8809-ff2ab670b87e.png,3.0
105.0,60956da8-1abd-4ac2-a896-e14a61f18b14.png,0.0
107.0,9f70135c-f2d4-4c0c-9be3-e5310fb62c58.png,1.0
117.0,56d85b9e-3026-4d9a-977f-cd4fc0545766.png,0.0
126.0,dfcc8c6c-65eb-4b40-8bcf-4a68abb5bae4.png,0.0
136.0,9f04feab-adb4-4b12-afad-aa0830fb8b4c.png,0.0
152.0,f9d95e30-055f-4c8f-9891-2044991082f5.png,0.0
179.0,def9dd08-0bbf-44a9-b892-02c344468d5f.png,0.0
197.0,34845e33-fdc0-4c47-90bb-257b1bdc95ea.png,6.0
197.0,3c982d6e-6209-4acd-8be2-252af8a74cb2.png,6.0
215.0,d2db415a-a904-4800-b82b-f7cf9f92836c.png,6.0
232.0,505cfe01-4346-48f4-b56d-edd05ce56091.png,0.0
309.0,35065228-9e81-4782-ad87-df073e729b96.png,0.0
317.0,20e210f7-2f47-4bda-b5c4-6c20068c427a.png,0.0
320.0,80c632c2-6d34-4d53-9a55-a3d35b4060c8.png,5.0
338.0,99e455f5-5aae-4c82-818f-e5b5ffafb7d5.png,6.0
350.0,13e882b9-e7cb-4b32-98a9-32101c77211c.png,0.0
354.0,2edec96d-122b-4a87-b07c-0264f3188c75.png,0.0
378.0,bad06da5-18cd-4b97-89c1-3d7826b2af74.png,0.0
378.0,4d2f779c-70ef-41b5-ba36-c58354bb6c69.png,0.0
378.0,1dfc0a35-b8b5-47c8-8bb5-d4f8bdfb48c6.png,0.0
390.0,90cab338-cb90-4d13-b219-9c2d25cbd0b8.png,0.0
448.0,ba0587a6-2cac-4f16-97df-be82e122064b.png,0.0
458.0,68864a0c-7f78-469f-ba13-3b7edb82562d.png,1.0
537.0,9b5d68ee-91c6-493a-9b50-5c780c7cfe2f.png,0.0
537.0,f5dd71d1-ae06-481a-be08-1ad142be5dde.png,0.0
569.0,766e7df2-5f9f-464a-8879-ad35b3732afc.png,5.0
609.0,975e2e36-a8d4-40ac-937d-0a8997f4c0f5.png,3.0
612.0,9c95ad59-c0d1-4a36-bd09-3f8216eae8ce.png,2.0
614.0,f45d8dde-50be-4eee-8512-600a34035ea1.png,5.0
614.0,2058acc7-279e-4008-8f69-698503ba5473.png,5.0
615.0,91d74683-986c-45c0-a7ed-2ced1f115ea6.png,5.0
629.0,ed3f26ca-590b-4266-a340-c0a5d2b4385f.png,4.0
646.0,924f2ea1-0a69-474e-b297-de5bc179e33f.png,0.0
646.0,f1e91c74-242a-4a58-9eb4-e20d0e736ad7.png,0.0
667.0,bd961735-eeea-4ade-8de9-f7fcdf6f229b.png,2.0
670.0,63760db1-3f8f-4fe2-8b47-f0c9e7ae581c.png,0.0
676.0,b50602b0-c90c-4917-8488-0501f99e1241.png,0.0
