image,source
b5cea717-9a77-4f9a-b4e1-f31e9b6b6166.png,2.0
720636ba-a101-426c-a571-ba80962cb125.png,6.0
5c28a113-4596-41be-a066-8bec469fce93.png,0.0
bf204b88-d2cc-4b0d-994b-ae335c825249.png,0.0
65573538-a12b-46f4-bb97-4e775123372c.png,0.0
6d6b042c-d079-4090-9ad9-7752df5f3503.png,0.0
02347b58-3215-4dc7-a188-dc06c01b219c.png,0.0
f19dadef-3a48-4592-b293-0e1755190e28.png,0.0
648f5cdb-cca4-45c7-8eb4-ba65e234d98d.png,6.0
0fbe9565-bd83-4aa9-9468-b21dd9d4037a.png,0.0
7d6ae1ed-a271-4a13-8540-13114fdfc675.png,0.0
c11d19b2-af6f-420e-b45a-7633214085b0.png,0.0
6f5d5b5d-9376-424b-99d5-754d2a7466b1.png,0.0
b542acca-9373-4c85-86c4-d37d263508c2.png,6.0
487f60ec-18ba-4eb3-9cff-202c66040c93.png,0.0
3c16ce64-0d69-4c8d-aeb0-c5c3143bbd67.png,6.0
ca73c57b-27d3-4fd7-a5b6-4535c145e877.png,0.0
c7af7ac2-30b3-4e9d-baad-14c18bbbe0b2.png,6.0
bc99812f-7073-4203-809b-885afb0baec3.png,6.0
e663135b-66c8-4314-8b0b-6ce26b63f62a.png,3.0
a67e61f5-004b-451d-bdf9-868d423b16b0.png,2.0
8893cc7e-2f18-4868-a6e7-3cfa908f0eb2.png,0.0
00f612fb-c745-4c46-af66-bfdfa944fb10.png,5.0
94f2bb2c-fc28-4e6b-adc8-a18c5bd9d095.png,5.0
870381bd-e53c-4d07-acbe-ac7bb48f6cee.png,5.0
ddd332d5-b0ef-4db6-b0e6-4787c7cdd613.png,5.0
ac47fd6b-7ca0-401a-9b1f-38fd5c07cf0d.png,0.0
412b1e71-48ac-475b-bf0c-fd6246a3dd2b.png,0.0
2a2e5e3d-78d5-451b-8918-3270ba40c6cd.png,0.0
01e47b65-2ba0-4fe1-a325-e334d8ba49b3.png,2.0
17a59ec4-03c0-44a3-b4bf-32abd3c11473.png,2.0
d1af195b-3c87-4daf-8679-643244294ebb.png,6.0
1ed31593-1909-4f1d-868a-65cfe5a46639.png,3.0
0c45b0cd-3d80-4381-8b6b-861e24d64b2e.png,4.0
f86d4819-219e-422c-a0f0-273b51816a59.png,0.0
c034730a-51dd-4ac3-a565-0746b5117066.png,1.0
d9c9db70-ffa2-4833-ade7-acd646dfbd07.png,1.0
eb6a5764-aa46-44b7-8bcc-7d5f836c31e5.png,6.0
8261525e-bb3f-47a0-9550-fcc10bd95579.png,0.0
1d674ba2-88a7-4e13-b579-cfc87bcc858a.png,0.0
a486f924-fc5e-4d61-a05b-bccccdd46e4d.png,5.0
fb69bfb2-4ba3-49e2-b9cd-87b290a61267.png,6.0
1f07ff68-39fa-4f4b-95fc-bfdb152b9d78.png,0.0
54f2197e-11a3-4dda-8d82-338b6c0026ac.png,0.0
2b34526f-1f30-4791-ae05-f51667c63682.png,2.0
4bad2078-5a4b-4c14-b8a9-af15777838ef.png,2.0
84bdca29-9c9b-4da0-8cb9-2e7e124e70a3.png,6.0
4e42944d-c2aa-420b-8a37-6893a690aa38.png,3.0
48c75ccd-f384-4e51-9933-13f5dcd810cd.png,1.0
d77b391f-7dc3-4ec1-808b-08d3ce7fd51f.png,5.0
f36fbdf5-4ffb-4249-a3e0-8f2f7e84da11.png,6.0
cbc48e36-8e2c-43d3-a483-ad3ee6165942.png,0.0
29079e9b-5a23-48e2-a07b-861fe07305f1.png,0.0
83b65fcf-9e46-4c8a-91a6-638be651e2b6.png,0.0
4482ca88-db68-4677-adb3-bbd2befc5a39.png,0.0
10f3b6e7-1b5a-4fd9-8635-cfaf3fdc740b.png,0.0
1bfcd405-41a8-473d-8c6d-c45eb7b54a28.png,0.0
203766d8-7a08-41dc-af85-d152807b65d7.png,2.0
5a8cd8d2-770a-49ab-b860-f0e2edd93496.png,5.0
990b77af-4a81-41a0-a297-3af9f4848d65.png,5.0
0eda402f-b0aa-4f3e-bf43-0594cb035a93.png,5.0
0ebcfffe-5821-4aa1-98b4-1b4658087f01.png,2.0
4125395b-06c0-44e9-8b8c-572e591b4c0d.png,0.0
508606c1-7885-480d-9882-027ffbb9eff6.png,0.0
b8348b53-6947-4e4a-8f3e-e48e8a7bf43b.png,6.0
7f841e2b-f8c1-4189-a080-1d8809fca856.png,0.0
33412922-68d0-4d74-a150-62191e013d65.png,6.0
bf2a06f3-f815-443f-bd29-b985d734952b.png,0.0
4a84db67-925a-4d71-a886-0884596d7f55.png,0.0
3ed06719-045e-4dff-b5ad-5c6dad198733.png,2.0
9befba9e-5277-4a7e-9d24-69df0f802b8e.png,0.0
ae6d4403-63e8-452e-b7e1-ab1e2144f3c3.png,0.0
75aff4c5-82d7-43e5-911f-15b575fee5a2.png,6.0
7ea29fb8-109c-4122-ab8e-1d40c1b5e4a4.png,0.0
e413fa16-3a59-4751-80aa-aaa8ba29a742.png,2.0
756c4d22-708b-4f0d-bb3c-9576409f7960.png,5.0
e643a49b-6a6c-4e25-8853-292b08337c72.png,5.0
e64c7fe2-25e7-4f4b-ad1a-17ab07c1050a.png,5.0
cf00943f-f6c6-4004-86b8-7c3c2c10eb6e.png,1.0
a91c7841-f05f-4809-9555-ef5249c5e20a.png,0.0
728e88b8-1735-451c-ba38-f25e52389535.png,2.0
